claim_id,claim_text,evidence_level,evidence_path,status,allowed_wording,prohibited_wording
C001,已完成前置研究数据接管与逐文件画像,E1,"data/source_catalog.csv;data/source_profile.json;scripts/profile_prior_data.py",verified,"画像26个文件，其中17个CSV","完成全网海量抓取"
C002,规范化观测记录合计208615条,E1,"data/processed/observed_data_summary.json;scripts/prepare_observed_data.py",verified,"规范化42356条实体平台记录和166259条评论记录","拥有20万条真实用户行为数据"
C003,识别4102个跨源对齐实体,E1,"data/processed/observed_data_summary.json;src/trustdata/normalization.py",verified,"在AOTY与RYM归档中对齐4102个实体","4102个实体均为无误匹配"
C004,建立P/B/C/X/T五维可信向量,E1,"src/trustdata/features.py;src/trustdata/scoring.py;configs/trust.yaml",verified,"实现五维可解释特征与覆盖感知评分","五维模型已达到生产最优"
C005,完成五类五档受控污染评估,E2,"src/trustdata/benchmark.py;outputs/runs/latest/run_manifest.json",verified,"在10万清洁记录上开展1%至30%受控污染实验","复现真实平台全部攻击"
C006,5%至30%污染下F1为0.630至0.752,E2,"outputs/runs/latest/classification_metrics.csv;competition/evidence/NUMBERS_MASTER.csv",verified,"在本受控基准的5%至30%污染区间","真实平台准确率超过99%"
C007,30%污染下AUPRC为0.9490,E2,"outputs/runs/latest/classification_metrics.csv",verified,"30%受控污染测试AUPRC为0.9490","达到行业领先识别率"
C008,30%污染下清洁记录FPR为0.00173,E2,"outputs/runs/latest/classification_metrics.csv",verified,"本受控测试中清洁记录误伤率为0.173%","真实用户误伤率仅0.173%"
C009,30%污染下平均排名误差下降25.3%,E2,"outputs/runs/latest/ranking_metrics.csv",verified,"在30%受控污染基准中由20.3960降至15.2335","所有污染率均提升排序"
C010,1%污染下F1较低且排序加权恶化,E2,"outputs/runs/latest/classification_metrics.csv;outputs/runs/latest/ranking_metrics.csv",verified,"1%时F1为0.1905且平均排名误差上升","低污染仍保持稳定性能"
C011,新账号仅作为弱特征,E1,"src/trustdata/features.py;tests/test_core.py",verified,"账户年龄小于等于30天只贡献弱风险项","系统对新账号零偏差"
C012,六工作面产品可本地运行,E1,"product/index.html;product/app.js;product/styles.css;app/data/dashboard.json",verified,"交付可运行治理原型","已完成生产部署"
C013,自动化测试67项全部通过,E1,"tests/;.github/workflows/ci.yml;competition/evidence/TEST_REPORT.md;competition/evidence/runtime/pytest-junit.xml;competition/evidence/runtime/test-case-inventory.csv;competition/evidence/runtime/test-run-metadata.json",verified,"核心、环境、控制台安全回归、LLM采集、跨平台确定性与证据一致性测试67/67本地通过；GitHub Actions在Ubuntu、Windows和macOS执行同一套测试","通过全面第三方测试"
C014,与ISO/IEC 5259和生成内容标识政策方向相容,E0,"docs/05_LITERATURE_POLICY_LANDSCAPE.md",supported,"设计参考用途适配数据质量与来源标识要求","获得ISO认证或监管认可"
C015,具有差异化治理系统集成设计,E1,"docs/03_ALGORITHM_AND_METHODS.md;docs/05_LITERATURE_POLICY_LANDSCAPE.md",supported,"形成面向UGC数据使用风险的差异化系统设计","国内首创或国际领先"
C016,五个贡献者分组种子下30%污染F1保持稳定区间,E2,"outputs/runs/latest/split_sensitivity_metrics.csv;outputs/runs/latest/split_sensitivity_summary.csv",verified,"30%污染F1中位数0.7515，范围0.7443至0.7644","多种真实平台条件下均稳定"
