date,title,replies,views,sentiment,topic,page,source,is_synthetic,provenance_status
2023-01-01,[RYM Forum] About AI review - page 1,33,1455,Opposed,AI review,1,synthetic,True,illustrative_synthetic
2023-04-01,[RYM Forum] About AI review - page 2,16,1408,Discussing,AI review,2,synthetic,True,illustrative_synthetic
2023-06-30,[RYM Forum] About AI review - page 3,20,1292,Opposed,AI review,3,synthetic,True,illustrative_synthetic
2023-01-01,[RYM Forum] About chatbot - page 1,31,1509,Concerned,chatbot,1,synthetic,True,illustrative_synthetic
2023-04-01,[RYM Forum] About chatbot - page 2,32,1446,Concerned,chatbot,2,synthetic,True,illustrative_synthetic
2023-06-30,[RYM Forum] About chatbot - page 3,23,1250,Discussing,chatbot,3,synthetic,True,illustrative_synthetic
2023-01-01,[RYM Forum] About fake rating - page 1,31,1486,Concerned,fake rating,1,synthetic,True,illustrative_synthetic
2023-04-01,[RYM Forum] About fake rating - page 2,24,1347,Discussing,fake rating,2,synthetic,True,illustrative_synthetic
2023-06-30,[RYM Forum] About fake rating - page 3,32,1273,Discussing,fake rating,3,synthetic,True,illustrative_synthetic
2023-01-01,[RYM Forum] About AI music - page 1,28,1535,Opposed,AI music,1,synthetic,True,illustrative_synthetic
2023-04-01,[RYM Forum] About AI music - page 2,24,1359,Concerned,AI music,2,synthetic,True,illustrative_synthetic
2023-06-30,[RYM Forum] About AI music - page 3,23,1333,Discussing,AI music,3,synthetic,True,illustrative_synthetic
2023-01-01,[RYM Forum] About GPT - page 1,26,1482,Concerned,GPT,1,synthetic,True,illustrative_synthetic
2023-04-01,[RYM Forum] About GPT - page 2,28,1429,Discussing,GPT,2,synthetic,True,illustrative_synthetic
2023-06-30,[RYM Forum] About GPT - page 3,22,1262,Discussing,GPT,3,synthetic,True,illustrative_synthetic
